model,layer_index,layer_ordinal,relative_depth,estimator,raw_or_pc,partition_idx,group_a,group_b,is_canonical_wei,S_group_a,S_group_b,S_between,delta_group_a,delta_group_b,T,rank
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,8,distractors_negated|encoding_obfuscation|prefix_injection,payload_splitting|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,9,distractors_negated|payload_splitting|prefix_injection,encoding_obfuscation|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,0,persona_roleplay|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|payload_splitting,True,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,1,encoding_obfuscation|prefix_injection|refusal_suppression,distractors_negated|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,2,payload_splitting|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,3,distractors_negated|prefix_injection|refusal_suppression,encoding_obfuscation|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,4,encoding_obfuscation|persona_roleplay|prefix_injection,distractors_negated|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,5,payload_splitting|persona_roleplay|prefix_injection,distractors_negated|encoding_obfuscation|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,6,distractors_negated|persona_roleplay|prefix_injection,encoding_obfuscation|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,7,encoding_obfuscation|payload_splitting|prefix_injection,distractors_negated|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,8,distractors_negated|encoding_obfuscation|prefix_injection,payload_splitting|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,raw,9,distractors_negated|payload_splitting|prefix_injection,encoding_obfuscation|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,0,persona_roleplay|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|payload_splitting,True,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,1,encoding_obfuscation|prefix_injection|refusal_suppression,distractors_negated|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,2,payload_splitting|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,3,distractors_negated|prefix_injection|refusal_suppression,encoding_obfuscation|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,4,encoding_obfuscation|persona_roleplay|prefix_injection,distractors_negated|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,5,payload_splitting|persona_roleplay|prefix_injection,distractors_negated|encoding_obfuscation|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,6,distractors_negated|persona_roleplay|prefix_injection,encoding_obfuscation|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,7,encoding_obfuscation|payload_splitting|prefix_injection,distractors_negated|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,8,distractors_negated|encoding_obfuscation|prefix_injection,payload_splitting|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,median,placebo_calibrated,9,distractors_negated|payload_splitting|prefix_injection,encoding_obfuscation|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,0,persona_roleplay|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|payload_splitting,True,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,1,encoding_obfuscation|prefix_injection|refusal_suppression,distractors_negated|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,2,payload_splitting|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,3,distractors_negated|prefix_injection|refusal_suppression,encoding_obfuscation|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,4,encoding_obfuscation|persona_roleplay|prefix_injection,distractors_negated|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,5,payload_splitting|persona_roleplay|prefix_injection,distractors_negated|encoding_obfuscation|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,6,distractors_negated|persona_roleplay|prefix_injection,encoding_obfuscation|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,7,encoding_obfuscation|payload_splitting|prefix_injection,distractors_negated|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,8,distractors_negated|encoding_obfuscation|prefix_injection,payload_splitting|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,raw,9,distractors_negated|payload_splitting|prefix_injection,encoding_obfuscation|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,0,persona_roleplay|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|payload_splitting,True,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,1,encoding_obfuscation|prefix_injection|refusal_suppression,distractors_negated|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,2,payload_splitting|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,3,distractors_negated|prefix_injection|refusal_suppression,encoding_obfuscation|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,4,encoding_obfuscation|persona_roleplay|prefix_injection,distractors_negated|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,5,payload_splitting|persona_roleplay|prefix_injection,distractors_negated|encoding_obfuscation|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,6,distractors_negated|persona_roleplay|prefix_injection,encoding_obfuscation|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,7,encoding_obfuscation|payload_splitting|prefix_injection,distractors_negated|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,8,distractors_negated|encoding_obfuscation|prefix_injection,payload_splitting|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,trimmed_mean,placebo_calibrated,9,distractors_negated|payload_splitting|prefix_injection,encoding_obfuscation|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,0,persona_roleplay|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|payload_splitting,True,0.6822660366694132,0.3029020552833875,0.34996840688917374,0.33229762978023947,-0.04706635160578626,0.14261563908722663,1
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,1,encoding_obfuscation|prefix_injection|refusal_suppression,distractors_negated|payload_splitting|persona_roleplay,False,0.4465528428554535,0.4831835925579071,0.36844562573565376,0.07810721711979973,0.11473796682225335,0.09642259197102654,2
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,2,payload_splitting|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|persona_roleplay,False,0.6500689188639323,0.1849977895617485,0.4000022013982137,0.25006671746571857,-0.21500441183646518,0.017531152814626694,5
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,3,distractors_negated|prefix_injection|refusal_suppression,encoding_obfuscation|payload_splitting|persona_roleplay,False,0.5458523631095886,0.28395729263623554,0.40175455229149926,0.14409781081808937,-0.11779725965526372,0.013150275581412796,6
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,4,encoding_obfuscation|persona_roleplay|prefix_injection,distractors_negated|payload_splitting|refusal_suppression,False,0.316902220249176,0.5233363509178162,0.39827824715110993,-0.0813760269019339,0.12505810376670623,0.02184103843238616,3
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,5,payload_splitting|persona_roleplay|prefix_injection,distractors_negated|encoding_obfuscation|refusal_suppression,False,0.5015260577201843,0.20625830938418707,0.44242964850531685,0.059096409214867474,-0.23617133912112978,-0.08853746495313114,9
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,6,distractors_negated|persona_roleplay|prefix_injection,encoding_obfuscation|payload_splitting|refusal_suppression,False,0.3988304038842519,0.3067387143770854,0.4431680647863282,-0.044337660902076304,-0.1364293504092428,-0.09038350565565956,10
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,7,encoding_obfuscation|payload_splitting|prefix_injection,distractors_negated|persona_roleplay|refusal_suppression,False,0.31561272342999774,0.43633970618247986,0.42770696100261474,-0.112094237572617,0.00863274517986512,-0.051730746196375965,7
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,8,distractors_negated|encoding_obfuscation|prefix_injection,payload_splitting|persona_roleplay|refusal_suppression,False,0.1972795551021894,0.5211825966835022,0.4388703869448768,-0.2415908318426874,0.08231220973862541,-0.07963931105203098,8
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,raw,9,distractors_negated|payload_splitting|prefix_injection,encoding_obfuscation|persona_roleplay|refusal_suppression,False,0.507152279218038,0.3293534417947133,0.3995225305358569,0.10762974868218106,-0.07016908874114358,0.018730329970518766,4
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,0,persona_roleplay|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|payload_splitting,True,0.422953133781751,0.22666601029535136,0.14720995475848517,0.27574317902326584,0.07945605553686619,0.17759961728006599,1
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,1,encoding_obfuscation|prefix_injection|refusal_suppression,distractors_negated|payload_splitting|persona_roleplay,False,0.35571517546971637,0.2677113140622775,0.15594083960685465,0.19977433586286172,0.11177047445542285,0.15577240515914229,2
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,2,payload_splitting|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|persona_roleplay,False,0.43174109359582263,0.07393018342554569,0.1951925771103965,0.23654851648542613,-0.12126239368485081,0.05764306140028763,3
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,3,distractors_negated|prefix_injection|refusal_suppression,encoding_obfuscation|payload_splitting|persona_roleplay,False,0.3841194460789363,0.10887235403060913,0.19941906941433749,0.1847003766645988,-0.09054671538372835,0.04707683064043522,4
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,4,encoding_obfuscation|persona_roleplay|prefix_injection,distractors_negated|payload_splitting|refusal_suppression,False,0.15296330054601034,0.3041460911432902,0.21137987222108576,-0.05841657167507541,0.09276621892220446,0.01717482362356451,5
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,5,payload_splitting|persona_roleplay|prefix_injection,distractors_negated|encoding_obfuscation|refusal_suppression,False,0.19475520650545755,0.07613094833989938,0.2734542845024003,-0.07869907799694273,-0.19732333616250092,-0.1380112070797218,10
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,6,distractors_negated|persona_roleplay|prefix_injection,encoding_obfuscation|payload_splitting|refusal_suppression,False,0.1611565575003624,0.12509611745675406,0.26833211113181377,-0.10717555363145137,-0.1432359936750597,-0.12520577365325553,9
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,7,encoding_obfuscation|payload_splitting|prefix_injection,distractors_negated|persona_roleplay|refusal_suppression,False,0.17159589131673178,0.16125489523013434,0.2527994072685639,-0.08120351595183214,-0.09154451203842959,-0.08637401399513087,7
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,8,distractors_negated|encoding_obfuscation|prefix_injection,payload_splitting|persona_roleplay|refusal_suppression,False,0.11031209118664265,0.18253491322199503,0.26613400131464005,-0.1558219101279974,-0.08359908809264502,-0.11971049911032122,8
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,mean,placebo_calibrated,9,distractors_negated|payload_splitting|prefix_injection,encoding_obfuscation|persona_roleplay|refusal_suppression,False,0.32546276847521466,0.12787854174772897,0.21263589937653807,0.11282686909867659,-0.0847573576288091,0.014034755734933763,6
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,0,persona_roleplay|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|payload_splitting,True,0.6758633057276408,0.30338354781270027,0.3476007431745529,0.32826256255308783,-0.044217195361852646,0.1420226835956176,1
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,1,encoding_obfuscation|prefix_injection|refusal_suppression,distractors_negated|payload_splitting|persona_roleplay,False,0.45072833200295764,0.4773387014865875,0.36466068319148487,0.08606764881147277,0.11267801829510266,0.09937283355328769,2
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,2,payload_splitting|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|persona_roleplay,False,0.6439687808354696,0.1870055335263411,0.3970249229007297,0.24694385793473989,-0.2100193893743886,0.018462234280175627,5
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,3,distractors_negated|prefix_injection|refusal_suppression,encoding_obfuscation|payload_splitting|persona_roleplay,False,0.5402178963025411,0.2858467449744542,0.39866148059566814,0.141556415706873,-0.11281473562121391,0.014370840042829569,6
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,4,encoding_obfuscation|persona_roleplay|prefix_injection,distractors_negated|payload_splitting|refusal_suppression,False,0.31812116007010144,0.5174152453740438,0.3955042258732849,-0.07738306580318344,0.12191101950075894,0.022263976848787725,3
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,5,payload_splitting|persona_roleplay|prefix_injection,distractors_negated|encoding_obfuscation|refusal_suppression,False,0.49162553747495014,0.2073460059861342,0.44102584653430515,0.05059969094064498,-0.23367984054817095,-0.09154007480376297,10
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,6,distractors_negated|persona_roleplay|prefix_injection,encoding_obfuscation|payload_splitting|refusal_suppression,False,0.3906661470731099,0.3089787115653356,0.4408014081418514,-0.0501352610687415,-0.13182269657651585,-0.09097897882262868,9
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,7,encoding_obfuscation|payload_splitting|prefix_injection,distractors_negated|persona_roleplay|refusal_suppression,False,0.3158997595310211,0.43071035544077557,0.42514632269740105,-0.10924656316637993,0.005564032743374525,-0.051841265211502674,7
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,8,distractors_negated|encoding_obfuscation|prefix_injection,payload_splitting|persona_roleplay|refusal_suppression,False,0.19665588811039925,0.5140585800011953,0.4371115383174684,-0.24045565020706916,0.0769470416837269,-0.08175430426167113,8
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,raw,9,distractors_negated|payload_splitting|prefix_injection,encoding_obfuscation|persona_roleplay|refusal_suppression,False,0.4992685119311015,0.3330975870291392,0.39656099470125306,0.10270751722984844,-0.06346340767211384,0.019622054778867304,4
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,0,persona_roleplay|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|payload_splitting,True,0.4218251208464305,0.22616270619134107,0.14929270578755272,0.27253241505887776,0.07687000040378836,0.17470120773133307,1
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,1,encoding_obfuscation|prefix_injection|refusal_suppression,distractors_negated|payload_splitting|persona_roleplay,False,0.35609664519627887,0.269376481572787,0.1567976058771213,0.19929903931915757,0.11257887569566569,0.15593895750741163,2
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,2,payload_splitting|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|persona_roleplay,False,0.4303905814886093,0.07939873573680718,0.1953588757250044,0.2350317057636049,-0.11596013998819722,0.059535782887703864,3
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,3,distractors_negated|prefix_injection|refusal_suppression,encoding_obfuscation|payload_splitting|persona_roleplay,False,0.3830264409383138,0.11245110134283702,0.20012946737309298,0.1828969735652208,-0.08767836603025596,0.04760930376748243,4
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,4,encoding_obfuscation|persona_roleplay|prefix_injection,distractors_negated|payload_splitting|refusal_suppression,False,0.15483605861663818,0.30199649930000305,0.2130111288279295,-0.05817507021129131,0.08898537047207355,0.015405150130391121,5
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,5,payload_splitting|persona_roleplay|prefix_injection,distractors_negated|encoding_obfuscation|refusal_suppression,False,0.1943837950627009,0.07727255361775558,0.27473653190665775,-0.08035273684395686,-0.19746397828890216,-0.13890835756642952,10
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,6,distractors_negated|persona_roleplay|prefix_injection,encoding_obfuscation|payload_splitting|refusal_suppression,False,0.1644959400097529,0.1278012047211329,0.2678562665565146,-0.10336032654676172,-0.14005506183538172,-0.12170769419107172,9
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,7,encoding_obfuscation|payload_splitting|prefix_injection,distractors_negated|persona_roleplay|refusal_suppression,False,0.1725527544816335,0.16438376406828561,0.25297647528350353,-0.08042372080187002,-0.08859271121521792,-0.08450821600854397,7
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,8,distractors_negated|encoding_obfuscation|prefix_injection,payload_splitting|persona_roleplay|refusal_suppression,False,0.11109177209436893,0.1833392878373464,0.26714496148957145,-0.15605318939520252,-0.08380567365222505,-0.11992943152371377,8
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,median,placebo_calibrated,9,distractors_negated|payload_splitting|prefix_injection,encoding_obfuscation|persona_roleplay|refusal_suppression,False,0.32230325043201447,0.13027908404668173,0.21442786997391117,0.1078753804581033,-0.08414878592722944,0.011863297265436945,6
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,0,persona_roleplay|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|payload_splitting,True,0.6770511666933695,0.30208393931388855,0.34657703671190476,0.33047412998146475,-0.04449309739801621,0.14299051629172427,1
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,1,encoding_obfuscation|prefix_injection|refusal_suppression,distractors_negated|payload_splitting|persona_roleplay,False,0.4484785348176956,0.478105753660202,0.36409397588835823,0.08438455892933738,0.11401177777184379,0.09919816835059059,2
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,2,payload_splitting|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|persona_roleplay,False,0.645257850488027,0.18412564198176065,0.3964942412243949,0.24876360926363206,-0.21236859924263427,0.018197505010498882,5
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,3,distractors_negated|prefix_injection|refusal_suppression,encoding_obfuscation|payload_splitting|persona_roleplay,False,0.5410177906354269,0.2828994592030843,0.39831632210148704,0.14270146853393983,-0.11541686289840275,0.01364230281776857,6
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,4,encoding_obfuscation|persona_roleplay|prefix_injection,distractors_negated|payload_splitting|refusal_suppression,False,0.3161172370115916,0.5185161530971527,0.39474427534474266,-0.07862703833315104,0.12377187775241005,0.022572419709629532,3
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,5,payload_splitting|persona_roleplay|prefix_injection,distractors_negated|encoding_obfuscation|refusal_suppression,False,0.4935835500558217,0.20522303879261017,0.4400198757648468,0.053563674290974916,-0.23479683697223663,-0.09061658134063089,9
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,6,distractors_negated|persona_roleplay|prefix_injection,encoding_obfuscation|payload_splitting|refusal_suppression,False,0.3913961748282115,0.30604954063892365,0.4404735002252791,-0.049077325397067606,-0.13442395958635545,-0.0917506424917115,10
Qwen2.5-7B-Instruct,1,2,0.037037037037037035,trimmed_mean,raw,7,encoding_obfuscation|payload_splitting|prefix_injection,distractors_negated|persona_roleplay|refusal_suppression,False,0.3142208655675252,0.4304548005263011,0.42473018334971535,-0.11050931778219014,0.0057246171765857334,-0.052392350302802204,7
